model,accuracy,urgent_precision,urgent_recall,urgent_f1,urgent_false_negatives,fit_seconds,score_seconds,feature_count
Frozen Week 3 class-balanced baseline,0.875,0.6666666666666666,0.3333333333333333,0.4444444444444444,4,0.07748408400220796,0.012801333999959752,4097
Week 4 GridSearchCV candidate,0.875,0.6666666666666666,0.3333333333333333,0.4444444444444444,4,0.037035707995528355,0.008494958019582555,2895
