model,cv_mean_accuracy,cv_mean_precision_urgent,cv_mean_recall_urgent,cv_mean_f1_urgent,cv_std_accuracy,cv_std_precision_urgent,cv_std_recall_urgent,cv_std_f1_urgent,mean_fit_time_seconds,mean_score_time_seconds
Frozen Week 3 class-balanced baseline,0.8366935483870968,0.2,0.04,0.06666666666666667,0.05063956686534842,0.44721359549995804,0.08944271909999159,0.14907119849998599,0.07907500267028808,0.02024245262145996
Week 4 GridSearchCV candidate,0.8616935483870968,0.2,0.08,0.11428571428571428,0.024646301274090527,0.4000000000000001,0.16,0.22857142857142856,0.05533585548400879,0.02328634262084961
