strategy,thresholds_used,accuracy,urgent_precision,urgent_recall,urgent_f1,true_negatives,false_positives,urgent_false_negatives,true_positives,urgent_support,total_support,mean_fold_urgent_precision,std_fold_urgent_precision,mean_fold_urgent_recall,std_fold_urgent_recall,mean_fold_urgent_f1,std_fold_urgent_f1
nested_selected_threshold,0.45,0.1509433962264151,0.1509433962264151,1.0,0.26229508196721313,0,135,0,24,24,159,0.15080645161290324,0.012172144232357728,1.0,0.0,0.26193050193050194,0.01864828892432258
default_0.50,0.50,0.8616352201257862,1.0,0.08333333333333333,0.15384615384615385,135,0,22,2,24,159,0.2,0.44721359549995804,0.08,0.17888543819998318,0.11428571428571428,0.25555062599997597
